height,timestamp,open,high,low,close
779148,1677863657,22416.58,22416.58,22391.03,22396.88
779149,1677863985,22384.57,22388.55,22384.11,22387.19
779150,1677863999,22384.57,22388.55,22384.11,22387.19
779151,1677864143,22391.01,22407.05,22391.01,22403.42
779152,1677864420,22397.19,22414.76,22397.11,22414.76
779153,1677864748,22412.14,22426.2,22410.77,22424.76
779154,1677866093,22436.44,22441.83,22435.98,22437.79
779155,1677867044,22418.94,22419.31,22410.81,22418.58
779156,1677867653,22405.97,22410.15,22403.59,22403.71
779157,1677868426,22358.33,22358.4,22332.01,22351.18
779158,1677869261,22309.02,22321.4,22300.12,22307.53
779159,1677869687,22343.26,22344.17,22334.76,22341.06
779160,1677869782,22329.17,22329.35,22319.18,22322.96
779161,1677869848,22322.96,22322.96,22309.92,22312.78
779162,1677870140,22306.43,22308.42,22297.6,22308.42
779163,1677870208,22308.42,22314.88,22300.78,22303.89
779164,1677870955,22329.21,22332.37,22325.64,22332.34
779165,1677871101,22347.83,22348.86,22336.38,22336.38
779166,1677871351,22328.72,22334.92,22325.95,22334.07
779167,1677871754,22307.64,22315.98,22307.0,22315.38
779168,1677872464,22305.9,22305.9,22303.24,22305.62
779169,1677872573,22305.62,22319.91,22303.43,22318.87
779170,1677875238,22345.29,22348.21,22344.49,22347.68
779171,1677876535,22314.64,22314.85,22310.94,22313.49
779172,1677877212,22305.9,22308.81,22287.66,22288.26
779173,1677877343,22310.76,22312.14,22309.06,22310.34
779174,1677877876,22265.63,22265.63,22252.42,22263.8
779175,1677878243,22266.08,22266.14,22255.72,22255.72
779176,1677878291,22255.72,22258.3,22253.11,22253.11
779177,1677878296,22255.72,22258.3,22253.11,22253.11
779178,1677878417,22219.65,22220.53,22162.21,22180.5
779179,1677879028,22287.03,22287.69,22283.43,22287.35
779180,1677879695,22271.73,22272.04,22260.61,22267.69
779181,1677880069,22276.71,22289.86,22276.4,22287.19
779182,1677880193,22200.88,22203.63,22175.25,22196.22
779183,1677880230,22196.22,22226.87,22196.22,22220.4
779184,1677880409,22231.61,22264.75,22231.61,22258.67
779185,1677881115,22246.39,22254.52,22246.02,22250.79
779186,1677881710,22242.89,22251.17,22242.74,22246.26
779187,1677882068,22263.52,22270.86,22260.82,22261.98
779188,1677882273,22260.41,22262.66,22259.73,22260.2
779189,1677882928,22295.09,22295.11,22287.79,22292.1
779190,1677883036,22291.97,22292.09,22284.77,22284.8
779191,1677883497,22279.12,22285.05,22277.96,22284.76
779192,1677883516,22284.76,22288.06,22283.28,22288.06
779193,1677884859,22337.34,22338.39,22336.66,22337.9
779194,1677885316,22349.36,22349.61,22341.01,22343.37
779195,1677885590,22341.66,22341.81,22329.27,22331.02
779196,1677886336,22368.71,22371.36,22364.87,22369.0
779197,1677886776,22369.76,22371.46,22362.1,22362.1
779198,1677887321,22349.35,22349.87,22343.37,22343.54
779199,1677887441,22350.0,22354.32,22350.0,22350.89
779200,1677887463,22350.89,22351.29,22340.81,22346.89
779201,1677887763,22348.54,22348.6,22343.09,22345.43
779202,1677887868,22345.43,22354.96,22345.16,22354.96
779203,1677887908,22354.96,22355.23,22351.57,22351.57
779204,1677888684,22337.7,22338.3,22336.57,22337.44
779205,1677888708,22337.7,22338.3,22336.57,22337.44
779206,1677890214,22358.86,22363.99,22356.02,22356.02
779207,1677890554,22374.17,22385.13,22373.76,22384.86
779208,1677891310,22377.52,22377.86,22374.36,22375.21
779209,1677891387,22375.21,22377.86,22374.36,22374.36
779210,1677891720,22379.16,22379.33,22376.61,22377.83
779211,1677893854,22354.94,22355.2,22353.01,22355.2
779212,1677894334,22369.12,22369.63,22364.78,22365.23
779213,1677895046,22354.11,22354.97,22344.1,22345.22
779214,1677897499,22345.0,22351.76,22344.72,22350.91
779215,1677898058,22345.87,22345.91,22343.11,22343.53
779216,1677898317,22345.23,22345.51,22344.44,22345.41
779217,1677898774,22345.51,22345.74,22344.17,22344.17
779218,1677898949,22344.03,22344.04,22343.21,22343.23
779219,1677899144,22340.72,22342.12,22340.05,22341.22
779220,1677901155,22347.4,22347.56,22344.95,22346.14
779221,1677901210,22346.14,22346.61,22344.96,22346.18
779222,1677901313,22346.18,22346.6,22345.79,22346.6
779223,1677901797,22343.65,22344.64,22343.32,22344.25
779224,1677902054,22349.82,22350.67,22343.1,22347.73
779225,1677903216,22347.66,22355.29,22346.87,22353.15
779226,1677903386,22358.72,22359.0,22356.42,22356.77
779227,1677903626,22360.51,22361.25,22359.92,22361.25
779228,1677903754,22365.8,22365.98,22362.73,22364.02
779229,1677905369,22339.77,22340.29,22337.99,22338.85
779230,1677905707,22333.06,22334.94,22333.06,22333.32
779231,1677906464,22342.41,22346.72,22341.93,22346.04
779232,1677906835,22343.31,22343.88,22342.08,22342.62
779233,1677907473,22335.95,22336.26,22335.67,22335.93
779234,1677908045,22329.3,22329.38,22327.35,22327.6
779235,1677908380,22310.6,22322.78,22310.6,22317.09
779236,1677908549,22313.38,22315.64,22311.75,22315.64
779237,1677908627,22315.64,22315.92,22308.86,22309.41
779238,1677910983,22381.1,22386.93,22380.64,22385.02
779239,1677911326,22388.43,22393.26,22387.71,22392.7
779240,1677912258,22390.24,22390.71,22389.65,22389.89
779241,1677913318,22368.89,22370.39,22366.53,22367.0
779242,1677914295,22369.14,22375.34,22368.87,22375.34
779243,1677914741,22369.33,22371.5,22368.26,22371.5
779244,1677917119,22363.71,22363.89,22360.75,22361.52
779245,1677918066,22351.8,22353.6,22351.12,22353.14
779246,1677918369,22359.6,22360.24,22356.25,22357.81
779247,1677918576,22356.62,22356.79,22354.99,22355.15
779248,1677918588,22356.62,22356.79,22354.99,22355.15
779249,1677918633,22355.15,22356.61,22354.69,22356.33
779250,1677919073,22341.74,22341.88,22340.79,22341.37
779251,1677920163,22353.53,22354.72,22351.88,22351.88
779252,1677920351,22343.84,22345.44,22343.84,22345.05
779253,1677920885,22345.95,22346.96,22345.83,22346.37
779254,1677921131,22361.35,22374.72,22361.03,22372.33
779255,1677922360,22364.53,22364.95,22363.77,22364.46
779256,1677922829,22355.82,22360.32,22353.28,22357.99
779257,1677923258,22350.97,22350.97,22349.89,22350.5
779258,1677924327,22356.51,22359.08,22355.4,22359.04
779259,1677924567,22358.17,22358.17,22353.97,22357.17
779260,1677924840,22358.27,22358.51,22357.08,22358.0
779261,1677925439,22353.84,22354.33,22353.62,22353.87
779262,1677925481,22353.87,22353.87,22352.09,22352.3
779263,1677927160,22348.51,22349.21,22347.63,22347.82
779264,1677927438,22343.98,22344.42,22343.54,22344.19
